Date,City,MobilityZone,DayType,BusPassengers,BikeTrips,ParkingOccupancy,TrafficCount,TransportStrainIndex,EventZone,EventType,EventName,Attendance,VenueCapacity,IsHoliday,WeekendFlag,PT_Preference_Score
2025-02-28,Kozani,Center,Weekday,5189.0,387.0,80.8,21452.0,31.78,Center,Sports,February Sports,2894.0,3852.0,0,0,25.99
2025-03-01,Kozani,University,Weekend,3456.0,355.0,70.4,15037.0,23.18,No Event,No Event,No Event,0.0,0.0,0,1,25.34
2025-03-02,Kozani,Waterfront,Weekend,3566.0,340.0,71.7,13891.0,22.39,Waterfront,Market,March Market,550.0,802.0,0,1,28.12
2025-03-03,Kozani,West District,Weekday,3715.0,360.0,68.6,16007.0,24.05,West District,Conference,March Conference,668.0,0.0,1,0,25.46
2025-03-04,Kozani,West District,Weekday,4736.0,372.0,77.6,19096.0,28.85,No Event,No Event,No Event,0.0,0.0,0,0,26.75
2025-03-05,Kozani,Center,Weekday,4765.0,320.0,70.4,20343.0,29.66,No Event,No Event,No Event,0.0,0.0,0,0,25.0
2025-03-06,Kozani,Center,Weekday,4872.0,342.0,66.5,19575.0,28.28,No Event,No Event,No Event,0.0,0.0,0,0,26.63
2025-03-07,Kozani,Center,Weekday,4607.0,365.0,60.7,19957.0,27.58,No Event,No Event,No Event,0.0,0.0,0,0,24.91
2025-03-08,Kozani,Center,Weekend,3802.0,351.0,73.7,15695.0,24.51,Center,Sports,March Sports,771.0,1272.0,0,1,26.46
2025-03-09,Kozani,Waterfront,Weekend,3642.0,343.0,63.8,14033.0,21.57,No Event,No Event,No Event,0.0,0.0,0,1,28.4
2025-03-10,Kozani,Waterfront,Weekday,4984.0,358.0,67.1,19941.0,28.66,No Event,No Event,No Event,0.0,0.0,0,0,26.79
2025-03-11,Kozani,Center,Weekday,5265.0,345.0,67.3,19237.0,28.29,No Event,No Event,No Event,0.0,0.0,0,0,29.16
2025-03-12,Kozani,University,Weekday,4857.0,394.0,70.0,19578.0,28.29,No Event,No Event,No Event,0.0,0.0,0,0,26.82
2025-03-13,Kozani,Center,Weekday,4992.0,270.0,71.5,19606.0,29.03,Center,Sports,March Sports,1313.0,2014.0,0,0,26.84
2025-03-14,Kozani,Center,Weekday,4788.0,351.0,70.4,19667.0,27.98,No Event,No Event,No Event,0.0,0.0,0,0,26.13
2025-03-15,Kozani,Center,Weekend,4076.0,385.0,85.2,18072.0,28.23,Center,Concert,March Concert,3514.0,4102.0,0,1,24.68
2025-03-16,Kozani,University,Weekend,3539.0,319.0,66.2,13268.0,21.25,No Event,No Event,No Event,0.0,0.0,0,1,29.08
2025-03-17,Kozani,Waterfront,Weekday,4577.0,344.0,71.6,20514.0,29.65,No Event,No Event,No Event,0.0,0.0,0,0,23.99
2025-03-18,Kozani,Waterfront,Weekday,4919.0,364.0,71.5,20225.0,29.41,Waterfront,Conference,March Conference,292.0,370.0,0,0,26.12
2025-03-19,Kozani,University,Weekday,4630.0,354.0,72.4,19754.0,28.94,No Event,No Event,No Event,0.0,0.0,0,0,25.23
2025-03-20,Kozani,Waterfront,Weekday,4561.0,360.0,71.5,20136.0,29.12,No Event,No Event,No Event,0.0,0.0,0,0,24.44
2025-03-21,Kozani,Center,Weekday,4960.0,415.0,71.0,20202.0,28.93,Center,Conference,March Conference,268.0,357.0,0,0,26.6
2025-03-22,Kozani,West District,Weekend,3382.0,344.0,73.9,13579.0,22.2,No Event,No Event,No Event,0.0,0.0,0,1,27.44
2025-03-23,Kozani,West District,Weekend,3139.0,353.0,68.4,14191.0,21.89,No Event,No Event,No Event,0.0,0.0,0,1,24.61
2025-03-24,Kozani,Center,Weekday,4895.0,270.0,68.2,18727.0,27.51,No Event,No Event,No Event,0.0,0.0,0,0,27.58
2025-03-25,Kozani,Center,Weekday,4764.0,343.0,80.8,19002.0,29.42,No Event,No Event,No Event,0.0,0.0,0,0,26.87
2025-03-26,Kozani,University,Weekday,4596.0,315.0,70.3,19066.0,28.29,No Event,No Event,No Event,0.0,0.0,0,0,25.76
2025-03-27,Kozani,West District,Weekday,4686.0,360.0,75.1,20228.0,29.74,West District,Cultural,March Cultural,1048.0,1396.0,0,0,24.94
2025-03-28,Kozani,Waterfront,Weekday,4519.0,343.0,73.8,18135.0,27.51,No Event,No Event,No Event,0.0,0.0,0,0,26.81
2025-03-29,Kozani,Center,Weekend,3792.0,391.0,80.5,16020.0,25.35,Center,Sports,March Sports,2663.0,3511.0,0,1,26.11
2025-03-30,Kozani,Waterfront,Weekend,3369.0,357.0,71.1,15649.0,23.81,Waterfront,Market,March Market,1453.0,1868.0,0,1,23.81
2025-03-31,Kozani,University,Weekday,4529.0,270.0,64.7,19047.0,27.07,No Event,No Event,No Event,0.0,0.0,0,0,25.19
2025-04-01,Kozani,University,Weekday,4981.0,359.0,67.0,19835.0,28.54,University,Market,April Market,744.0,1003.0,0,0,26.92
2025-04-02,Kozani,Waterfront,Weekday,4610.0,341.0,62.1,19783.0,27.78,No Event,No Event,No Event,0.0,0.0,0,0,25.03
2025-04-03,Kozani,Waterfront,Weekday,4376.0,385.0,69.5,19662.0,28.05,No Event,No Event,No Event,0.0,0.0,0,0,24.21
2025-04-04,Kozani,Center,Weekday,4779.0,376.0,69.1,20959.0,29.65,No Event,No Event,No Event,0.0,0.0,0,0,24.59
2025-04-05,Kozani,Waterfront,Weekend,3315.0,309.0,73.3,14684.0,23.47,No Event,No Event,No Event,0.0,0.0,0,1,24.68
2025-04-06,Kozani,University,Weekend,3845.0,297.0,59.8,14526.0,22.09,No Event,No Event,No Event,0.0,0.0,0,1,28.51
2025-04-07,Kozani,West District,Weekday,5077.0,375.0,65.6,19362.0,27.82,West District,Market,April Market,331.0,586.0,0,0,28.16
2025-04-08,Kozani,University,Weekday,4573.0,348.0,73.1,19551.0,28.84,No Event,No Event,No Event,0.0,0.0,0,0,25.17
2025-04-09,Kozani,Waterfront,Weekday,4773.0,358.0,68.1,19515.0,28.22,No Event,No Event,No Event,0.0,0.0,0,0,26.29
2025-04-10,Kozani,Center,Weekday,4785.0,382.0,65.6,19291.0,27.5,No Event,No Event,No Event,0.0,0.0,0,0,26.78
2025-04-11,Kozani,Center,Weekday,4799.0,270.0,65.5,20181.0,28.55,No Event,No Event,No Event,0.0,0.0,0,0,25.12
2025-04-12,Kozani,Waterfront,Weekend,3685.0,305.0,71.9,13442.0,22.35,No Event,No Event,No Event,0.0,0.0,0,1,29.68
2025-04-13,Kozani,University,Weekend,3385.0,356.0,70.0,14110.0,22.15,No Event,No Event,No Event,0.0,0.0,0,1,26.51
2025-04-14,Kozani,Center,Weekday,4556.0,353.0,64.8,18899.0,27.1,No Event,No Event,No Event,0.0,0.0,0,0,25.97
2025-04-15,Kozani,Center,Weekday,4518.0,335.0,69.7,19823.0,28.76,No Event,No Event,No Event,0.0,0.0,0,0,24.48
2025-04-16,Kozani,University,Weekday,4608.0,270.0,66.2,18942.0,27.59,No Event,No Event,No Event,0.0,0.0,0,0,25.75
2025-04-17,Kozani,Center,Weekday,4564.0,382.0,68.2,18296.0,26.68,No Event,No Event,No Event,0.0,0.0,0,0,27.03
2025-04-18,Kozani,Center,Weekday,3910.0,341.0,53.3,14895.0,21.32,No Event,No Event,No Event,0.0,0.0,1,0,28.54
2025-04-19,Kozani,Center,Weekend,3368.0,270.0,77.7,12997.0,21.82,Center,Cultural,April Cultural,0.0,855.0,0,1,27.99
2025-04-20,Kozani,University,Weekend,3044.0,349.0,68.5,14633.0,22.32,No Event,No Event,No Event,0.0,0.0,0,1,23.19
2025-04-21,Kozani,Center,Weekday,4911.0,319.0,73.7,19526.0,29.35,No Event,No Event,No Event,0.0,0.0,0,0,26.78
2025-04-22,Kozani,Waterfront,Weekday,4555.0,408.0,72.4,18996.0,27.69,No Event,No Event,No Event,0.0,0.0,0,0,26.13
2025-04-23,Kozani,University,Weekday,4726.0,334.0,70.4,19407.0,28.78,No Event,No Event,No Event,0.0,0.0,0,0,26.07
2025-04-24,Kozani,Center,Weekday,4301.0,334.0,65.5,18804.0,27.07,No Event,No Event,No Event,0.0,0.0,0,0,24.65
2025-04-25,Kozani,West District,Weekday,4565.0,352.0,67.2,19930.0,28.45,No Event,No Event,No Event,0.0,0.0,0,0,24.67
2025-04-26,Kozani,Waterfront,Weekend,3628.0,384.0,81.2,13825.0,23.2,Waterfront,Market,April Market,1319.0,1794.0,0,1,29.02
2025-04-27,Kozani,Center,Weekend,3087.0,324.0,72.7,13031.0,21.47,No Event,No Event,No Event,0.0,0.0,0,1,26.17
2025-04-28,Kozani,University,Weekday,4652.0,319.0,74.6,18906.0,28.67,No Event,No Event,No Event,0.0,0.0,0,0,26.29
2025-04-29,Kozani,Center,Weekday,4358.0,385.0,69.6,19670.0,28.07,No Event,No Event,No Event,0.0,0.0,0,0,24.11
2025-04-30,Kozani,University,Weekday,4695.0,337.0,70.5,19516.0,28.65,No Event,No Event,No Event,0.0,0.0,0,0,25.78
2025-05-01,Kozani,West District,Weekday,3729.0,366.0,55.7,15205.0,21.61,No Event,No Event,No Event,0.0,0.0,1,0,26.93
2025-05-02,Kozani,University,Weekday,4603.0,341.0,76.7,19669.0,29.49,University,Conference,May Conference,312.0,501.0,0,0,25.13
2025-05-03,Kozani,Center,Weekend,3182.0,313.0,68.0,13494.0,21.51,No Event,No Event,No Event,0.0,0.0,0,1,25.9
2025-05-04,Kozani,West District,Weekend,3611.0,279.0,73.4,15345.0,24.61,West District,Concert,May Concert,0.0,2207.0,0,1,25.35
2025-05-05,Kozani,University,Weekday,4626.0,399.0,71.1,20306.0,28.94,University,Sports,May Sports,1751.0,2633.0,0,0,24.75
2025-05-06,Kozani,Center,Weekday,4473.0,326.0,74.7,17576.0,27.18,No Event,No Event,No Event,0.0,0.0,0,0,27.3
2025-05-07,Kozani,University,Weekday,4491.0,330.0,68.5,18644.0,27.45,No Event,No Event,No Event,0.0,0.0,0,0,25.86
2025-05-08,Kozani,West District,Weekday,4500.0,372.0,71.4,18203.0,27.02,No Event,No Event,No Event,0.0,0.0,0,0,26.76
2025-05-09,Kozani,Center,Weekday,4407.0,344.0,59.1,18322.0,25.78,No Event,No Event,No Event,0.0,0.0,0,0,25.93
2025-05-10,Kozani,Center,Weekend,3345.0,365.0,66.8,13168.0,20.7,No Event,No Event,No Event,0.0,0.0,0,1,28.17
2025-05-11,Kozani,University,Weekend,3159.0,290.0,66.2,13873.0,21.83,No Event,No Event,No Event,0.0,0.0,0,1,24.86
2025-05-12,Kozani,Waterfront,Weekday,4677.0,347.0,71.4,17779.0,26.94,No Event,No Event,No Event,0.0,0.0,0,0,28.26
2025-05-13,Kozani,Center,Weekday,4379.0,324.0,69.7,17722.0,26.66,No Event,No Event,No Event,0.0,0.0,0,0,26.54
2025-05-14,Kozani,West District,Weekday,4355.0,334.0,63.9,18516.0,26.62,No Event,No Event,No Event,0.0,0.0,0,0,25.32
2025-05-15,Kozani,Center,Weekday,4832.0,324.0,72.2,18683.0,28.23,No Event,No Event,No Event,0.0,0.0,0,0,27.6
2025-05-16,Kozani,Center,Weekday,4694.0,303.0,72.4,18267.0,27.92,No Event,No Event,No Event,0.0,0.0,0,0,27.35
2025-05-17,Kozani,West District,Weekend,3785.0,321.0,73.1,13615.0,22.61,West District,Cultural,May Cultural,753.0,1348.0,0,1,30.16
2025-05-18,Kozani,University,Weekend,3271.0,285.0,77.1,14625.0,24.07,No Event,No Event,No Event,0.0,0.0,0,1,24.31
2025-05-19,Kozani,Center,Weekday,5079.0,390.0,74.4,19752.0,29.19,Center,Sports,May Sports,3141.0,3970.0,0,0,27.69
2025-05-20,Kozani,Waterfront,Weekday,4266.0,296.0,67.7,19224.0,28.07,No Event,No Event,No Event,0.0,0.0,0,0,23.73
2025-05-21,Kozani,Center,Weekday,4428.0,359.0,67.1,18033.0,26.37,No Event,No Event,No Event,0.0,0.0,0,0,26.54
2025-05-22,Kozani,Center,Weekday,4439.0,317.0,73.2,18493.0,27.96,No Event,No Event,No Event,0.0,0.0,0,0,25.72
2025-05-23,Kozani,Center,Weekday,4964.0,353.0,65.2,18736.0,27.26,No Event,No Event,No Event,0.0,0.0,0,0,28.38
2025-05-24,Kozani,Center,Weekend,3599.0,338.0,78.1,14988.0,24.34,Center,Concert,May Concert,3245.0,4007.0,0,1,26.27
2025-05-25,Kozani,West District,Weekend,3267.0,338.0,75.2,13597.0,22.36,West District,Cultural,May Cultural,498.0,837.0,0,1,26.51
2025-05-26,Kozani,Center,Weekday,4173.0,341.0,71.4,17859.0,26.72,No Event,No Event,No Event,0.0,0.0,0,0,25.27
2025-05-27,Kozani,Center,Weekday,4331.0,295.0,66.0,17948.0,26.63,No Event,No Event,No Event,0.0,0.0,0,0,25.77
2025-05-28,Kozani,Center,Weekday,4451.0,311.0,75.9,18294.0,28.15,No Event,No Event,No Event,0.0,0.0,0,0,26.03
2025-05-29,Kozani,Center,Weekday,4461.0,339.0,73.0,17912.0,27.19,No Event,No Event,No Event,0.0,0.0,0,0,26.8
2025-05-30,Kozani,Center,Weekday,4562.0,326.0,65.1,17683.0,26.15,No Event,No Event,No Event,0.0,0.0,0,0,27.64
2025-05-31,Kozani,West District,Weekend,3238.0,311.0,66.9,12061.0,19.99,No Event,No Event,No Event,0.0,0.0,0,1,29.42
2025-06-01,Kozani,University,Weekend,3151.0,302.0,70.4,13475.0,21.51,No Event,No Event,No Event,0.0,0.0,0,1,25.62
2025-06-02,Kozani,Center,Weekday,4937.0,356.0,79.4,16973.0,27.22,Center,Cultural,June Cultural,813.0,1203.0,0,0,31.18
2025-06-03,Kozani,University,Weekday,4537.0,322.0,70.4,19464.0,28.89,No Event,No Event,No Event,0.0,0.0,0,0,24.96
2025-06-04,Kozani,University,Weekday,4736.0,330.0,65.6,17489.0,26.1,No Event,No Event,No Event,0.0,0.0,0,0,28.97
2025-06-05,Kozani,Center,Weekday,4308.0,272.0,68.4,17033.0,26.19,No Event,No Event,No Event,0.0,0.0,0,0,26.89
2025-06-06,Kozani,University,Weekday,4335.0,270.0,67.8,17638.0,26.39,No Event,No Event,No Event,0.0,0.0,0,0,26.11
2025-06-07,Kozani,University,Weekend,4171.0,342.0,90.6,16862.0,28.12,University,Festival,June Festival,4991.0,7192.0,0,1,26.76
2025-06-08,Kozani,West District,Weekend,4008.0,335.0,84.5,15267.0,25.71,West District,Concert,June Concert,3997.0,4348.0,0,1,28.45
2025-06-09,Kozani,Waterfront,Weekday,4290.0,294.0,68.7,17678.0,26.68,No Event,No Event,No Event,0.0,0.0,0,0,25.93
2025-06-10,Kozani,Waterfront,Weekday,4410.0,270.0,76.5,16608.0,28.78,No Event,No Event,No Event,0.0,0.0,0,0,28.18
2025-06-11,Kozani,Center,Weekday,4596.0,289.0,70.4,17251.0,26.55,No Event,No Event,No Event,0.0,0.0,0,0,28.32
2025-06-12,Kozani,Waterfront,Weekday,4486.0,340.0,81.3,16608.0,28.84,Waterfront,Market,June Market,1710.0,1970.0,0,0,29.06
2025-06-13,Kozani,West District,Weekday,4862.0,332.0,81.5,19716.0,30.38,West District,Sports,June Sports,2947.0,3799.0,0,0,26.34
2025-06-14,Kozani,Center,Weekend,3810.0,362.0,86.6,15583.0,25.92,Center,Festival,June Festival,4305.0,6625.0,0,1,26.77
2025-06-15,Kozani,West District,Weekend,3373.0,270.0,72.5,14845.0,23.62,West District,Concert,June Concert,1895.0,2003.0,0,1,24.54
2025-06-16,Kozani,West District,Weekday,4166.5,292.0,65.5,16914.0,25.45,West District,Conference,June Conference,292.0,0.0,0,0,26.36
2025-06-17,Kozani,Center,Weekday,4392.0,304.0,70.6,17866.0,27.09,Center,Sports,June Sports,2308.0,0.0,0,0,26.28
2025-06-18,Kozani,Center,Weekday,4639.0,269.0,65.7,17213.0,26.27,No Event,No Event,No Event,0.0,0.0,0,0,28.51
2025-06-19,Kozani,Center,Weekday,4563.0,290.0,77.0,16823.0,27.08,No Event,No Event,No Event,0.0,0.0,0,0,28.85
2025-06-20,Kozani,University,Weekday,4434.0,254.0,77.1,16943.0,27.42,No Event,No Event,No Event,0.0,0.0,0,0,27.67
2025-06-21,Kozani,Center,Weekend,3021.0,267.0,82.7,13014.0,23.14,Center,Concert,June Concert,2147.0,2890.0,0,1,25.26
2025-06-22,Kozani,West District,Weekend,3576.0,262.0,72.4,13284.0,22.53,West District,Concert,June Concert,2089.0,2349.0,0,1,28.89
2025-06-23,Kozani,West District,Weekday,4541.0,333.0,79.0,18736.0,28.87,West District,Conference,June Conference,1146.0,1504.0,0,0,26.01
2025-06-24,Kozani,Waterfront,Weekday,4157.0,270.0,69.1,16480.0,25.38,No Event,No Event,No Event,0.0,0.0,0,0,26.86
2025-06-25,Kozani,Waterfront,Weekday,4389.0,261.0,63.1,17072.0,25.71,No Event,No Event,No Event,0.0,0.0,0,0,27.24
2025-06-26,Kozani,University,Weekday,4794.0,295.0,67.7,18664.0,27.87,University,Sports,June Sports,1400.0,1916.0,0,0,27.26
2025-06-27,Kozani,University,Weekday,4066.0,297.0,69.6,15548.0,24.48,University,Conference,June Conference,591.0,956.0,0,0,28.06
2025-06-28,Kozani,Center,Weekend,3478.0,229.0,75.3,12693.0,22.51,No Event,No Event,No Event,0.0,0.0,0,1,29.2
2025-06-29,Kozani,University,Weekend,3189.0,262.0,66.9,12763.0,21.07,No Event,No Event,No Event,0.0,0.0,0,1,27.04
2025-06-30,Kozani,Waterfront,Weekday,4528.0,283.0,73.6,17393.0,27.25,Waterfront,Sports,June Sports,1051.0,1631.0,0,0,27.66
2025-07-01,Kozani,Center,Weekday,4223.0,274.0,74.0,16148.0,25.92,No Event,No Event,No Event,0.0,0.0,0,0,27.85
2025-07-02,Kozani,Center,Weekday,4377.0,291.0,74.9,18334.0,28.19,Center,Cultural,July Cultural,388.0,0.0,0,0,25.46
2025-07-03,Kozani,Waterfront,Weekday,4224.0,216.0,68.4,16208.0,25.78,No Event,No Event,No Event,0.0,0.0,0,0,27.39
2025-07-04,Kozani,Center,Weekday,3891.0,252.0,75.8,16882.0,26.85,No Event,No Event,No Event,0.0,0.0,0,0,24.54
2025-07-05,Kozani,Center,Weekend,2952.0,257.0,68.5,11629.0,20.02,No Event,No Event,No Event,0.0,0.0,0,1,27.59
2025-07-06,Kozani,Center,Weekend,3263.0,293.0,82.5,15234.0,25.28,Center,Festival,July Festival,3087.0,3783.0,0,1,23.34
2025-07-07,Kozani,Center,Weekday,3994.0,268.0,61.4,17478.0,25.58,No Event,No Event,No Event,0.0,0.0,0,0,24.38
2025-07-08,Kozani,University,Weekday,3992.0,266.0,70.0,16902.0,26.1,No Event,No Event,No Event,0.0,0.0,0,0,25.19
2025-07-09,Kozani,Center,Weekday,4008.0,238.0,64.8,16240.0,25.03,No Event,No Event,No Event,0.0,0.0,0,0,26.14
2025-07-10,Kozani,University,Weekday,4213.0,237.0,69.3,17071.0,26.57,No Event,No Event,No Event,0.0,0.0,0,0,26.07
2025-07-11,Kozani,University,Weekday,4174.0,251.0,71.0,16895.0,26.47,No Event,No Event,No Event,0.0,0.0,0,0,26.19
2025-07-12,Kozani,Center,Weekend,3250.0,204.0,65.0,12607.0,21.2,No Event,No Event,No Event,0.0,0.0,0,1,27.4
2025-07-13,Kozani,West District,Weekend,3314.0,265.0,73.8,12806.0,22.03,West District,Concert,July Concert,2664.0,3249.0,0,1,27.95
